,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
23,324,23,3664.4590595405184,13.557964479251368,12299.858338763466,6.356756772968152,17438.60285437623,8.63655038771654,25219.037520733487,6.484674082049276
24,324,23,4086.375586277969,10.668932679724794,10931.073178270573,4.656857063624152,17445.06321530612,5.000616842440377,23745.723578761193,6.143356702749119
25,182,48,2964.4121902749457,34.19807001713596,5743.628630742942,17.00053476419312,12381.890774324176,18.23438961699255,17022.73810663316,12.903807131175197
26,182,48,2594.7306007910124,8.678266058963255,6854.223030396697,7.480843612454808,12343.489544992142,7.390178770354598,16518.210973754416,9.743322226961844
27,182,48,2733.8363323494686,10.647837657508976,6324.558634709333,14.361107796303912,13418.932385077958,17.41922802695221,16276.83945173868,11.780774604037113
28,182,48,2636.074687726469,4.6929249996724,6190.549962902471,5.479085073654327,11899.868079909691,6.574414308157369,16545.22784429412,10.179528584335753
29,182,48,2251.3257318754063,10.311298733444165,6774.217608776598,8.08495808267725,11632.53530491762,9.817359071803923,17179.96553632863,12.482418681989852
30,361,37,6368.8416360905285,3.909427502056791,16112.680766632571,11.725124268567841,26761.787792520714,6.976446176770894,35102.39214603891,5.139907842488011
31,361,37,5960.521215209623,21.60374819299043,14842.820486200928,55.497154280282246,24406.943782015143,43.463353575621326,32867.22356982349,39.80986359850908
32,361,37,5645.629499628878,33.74145574807724,14221.56225270614,20.98974508556897,24485.89685098937,31.960588807178468,33630.760667871764,19.930051613952443
33,361,37,4976.436389668277,14.065375901972109,15058.210455235461,12.617405503882308,25343.91300310506,10.812455174588614,35399.05220652348,13.02939887137168
34,361,37,4665.2938452668795,6.358143469572274,15709.522372357917,9.618635582153672,24425.87970866223,7.6230732385716795,34470.81200758797,11.150822276778792
35,149,95,3032.7282271668128,4.9289321881345245,9718.28635232813,5.920899796846163,18148.658110199456,5.467165784402654,30210.31706497833,8.367715908975804
36,149,95,3145.993123916198,3.100039601865001,9988.228083264734,2.654997733952372,18996.236992718867,5.1723078203644395,29895.1644337248,6.135779747105849
37,149,95,3060.1384872783838,3.199662484626773,9887.585490431024,2.709076225267072,18600.781845852824,3.415863667758906,29586.110421586996,5.111667055865162
38,149,95,3232.6417109562653,5.281235561185234,10063.214481096391,4.602605461264915,18143.515323995187,5.683765847339156,29240.993611009784,7.3164392734533195
39,149,95,3193.3899686457466,4.2235477883111425,9557.395055876332,13.52786404500042,18545.899068992243,12.17376207875074,29578.18703845595,9.682946630271093
40,307,42,4005.0438546927103,9.387289764725125,14924.299173367037,11.229165486760039,23927.823201109928,8.015846592557564,35467.6974335229,13.520438461780735
41,307,42,4472.318106545876,76.44211224601814,14294.46995642147,52.2058051342884,25196.681470205964,55.60445444328548,32928.12637525493,89.95088514031966
42,307,42,5044.126122017447,14.345584874557876,12704.11421282369,8.495492804603156,22826.23583628019,6.364392055975744,34193.04866749078,5.537298899110924
43,307,42,6467.973370683342,5.176065155652676,14446.813649111964,10.929624759070885,23178.519919325427,9.938401283203245,34455.447717118266,9.105598747525006
44,307,42,4547.308084316615,6.48487019457682,13781.989894021368,4.9493883001783185,22316.489955796642,5.237750017861412,33922.78769410245,5.533684027672382
45,465,78,8629.79486171028,4.3276960101066475,26290.804720169057,4.256868852349124,51662.59540538628,8.04227060409155,82639.11325755266,6.236474302049646
46,465,78,7782.734623441331,12.755408465528538,26033.515853615594,9.808918525745604,49600.046407751186,12.790951135814758,77622.92330672833,9.635277658335658
47,465,78,9912.397473358466,7.997591172142714,25281.923206045383,4.541730414804423,47451.74971249346,6.900518736763095,71215.22353366407,6.827770102894777
48,465,78,8707.95291665562,8.707939963262387,27339.16705171418,9.914968227551743,52069.871345737454,8.83329136393521,80546.7945244282,7.864065624292653
49,465,78,9533.81992710043,8.784275595826575,26599.34200106333,12.958631056830523,51473.50751667678,6.875266930280472,79740.29558198407,10.616701432184248
50,323,67,4541.168703489517,10.256922884069468,17860.925041683637,5.789395747053616,31621.542212086722,5.672827759057496,47885.27275336256,4.1681353072502105
51,323,67,6173.706027415068,5.498504840332698,13640.466841605448,7.506511551707537,33204.18950220125,6.3178763081436635,46607.27718670617,5.917070853684438
52,323,67,5860.65443974307,4.775211517820049,16024.09833100141,7.163347088904447,32363.74049860055,6.655866032345025,46948.30973709203,9.601145324554476
53,323,67,7460.401220268164,7.018840889075033,17902.574824619915,8.603840861062144,31427.99892726123,8.407358861903202,50058.313843811105,8.978888421347536
54,323,67,5819.623228767849,4.184304550585157,17034.759887044384,5.619287666248636,33633.6883661554,8.999475583303562,46499.90414646605,7.084047717062526
55,199,99,2233.0844382001897,2.47859308684391,7212.046959129184,2.730657185097357,15664.02181090347,2.221972191641566,27346.889168631496,2.307633300148681
56,199,99,2396.0379799628126,2.1996679715870178,7580.275016804215,2.4266498849590885,15149.303349451046,1.8841708786541647,26453.027717279758,1.9645407236113233
57,199,99,2187.439223533099,2.031741804504809,7342.073235674225,2.403504397389052,15883.164761749871,2.3277900989866267,27289.720326471226,1.9904512319358072
58,199,99,2212.5776354783798,5.932065445912796,7041.5167412757,4.51137544164223,15477.019474551384,2.8918415986312764,26354.166131041027,3.459500527408286
59,199,99,2231.7966289902815,4.891362686972831,8036.031553233827,4.368623432720077,16011.149741092766,5.542687890005205,27890.51256516258,5.0604784526128
60,147,93,3055.8739592968313,10.39668463701154,9308.624483313084,15.377953348730056,18147.15160130784,10.705732518894663,28572.38302606059,11.5
61,147,93,3169.848437130821,13.773456623049789,9416.992058951622,12.410647138862682,18055.104302816286,11.595514868167697,28221.240709391186,16.339645205269573
62,147,93,3105.298344729404,6.25954851637764,9566.140573561992,7.952562215555612,18200.17580696489,11.827884363218793,29225.969956156958,7.548920433259953
63,147,93,3047.725450807733,5.61191833432691,9703.703131489769,5.79604053014887,16803.91034526329,4.39019855971569,28415.12045444292,6.559603778229421
64,147,93,3077.9238959403506,6.14205279933306,9518.26098701268,3.08763028018918,17390.27321753293,4.2301326939353405,28164.22428191776,7.124490347883018
65,148,79,1795.9917221512324,16.931578290372784,5281.169490061135,6.9289321881345245,12877.054508647376,7.773605087854286,19206.68689720871,12.07288893490654
66,148,79,1798.6502554660478,7.1284091275158525,5950.308592849641,5.4722542590918355,12516.458403772202,6.353292596727771,21866.098673166227,9.060889848134693
67,148,79,1912.6711870449667,5.889019422167541,6000.254414503093,8.234098800109594,12375.26028268834,6.784342824320294,18749.681349620427,8.112949380627146
68,148,79,1645.541009827266,3.532537140399703,6076.203806075931,3.742954996531001,12317.122310371045,3.49495685448435,19549.314495090268,2.0843913026462726
69,148,79,1715.8739889082935,15.115940063633616,5938.325642028276,15.02562593835681,12684.544952847355,12.327674995213386,19880.50179934004,22.656854249492376
70,407,47,6832.868464782887,6.9941921518878045,19402.384047469073,5.502851389894932,32088.59114120909,4.831951013753278,44906.7590250293,5.734097089717188
71,407,47,7988.4535678466455,10.4291081643366,18655.275327243253,11.111569792577903,34725.234226956745,8.089699080914833,47954.87278989406,6.386383690201702
72,407,47,5801.349531127464,5.459782278251286,19552.348360900178,4.235113028192032,32962.469593175774,5.163338208253517,47807.36071426193,5.2989623121349405
73,407,47,5890.024263243764,6.495809923689929,17067.023409096713,5.653953130824445,31598.788794379812,6.377735250434109,47646.80208058305,5.669151474667735
74,407,47,6707.349225589734,5.023296488915844,22312.47531503842,6.031885986872129,33661.041882070145,4.005104016651476,53378.352791175115,6.610377333071917
75,259,98,3417.1899635060417,1.778180179677091,10441.819716045131,2.41294732629543,20064.37359895519,2.3401628362930422,32578.33356368152,2.483975190982725
76,259,98,3327.054445205222,3.1170600023850543,11582.144934315897,2.7058509497551677,21332.39466791411,4.631111337748666,32479.600285035143,4.22813888974862
77,259,98,3135.1004158705796,2.56074036134919,9071.317894838652,1.822175193199941,20367.54578069698,2.976616893214279,31026.720358586135,2.4581137060572837
78,259,98,4261.1865210407495,3.083301702298056,10807.478939288805,2.164523738566899,20066.63998174228,3.1347041913681926,30450.294326762596,3.9031836689127446
79,259,98,3117.3340649726806,4.152702235200061,9320.578052231085,5.42161152603008,20661.640909119073,5.741931768708187,32158.55226504957,6.597847432186535
80,194,61,2918.0856980925487,8.078360731971278,6474.305828804572,8.931707811959965,14382.472703262345,15.480591563978845,20697.919443912186,13.188181769465965
81,194,61,2282.8154286581175,6.065542064685802,7146.202428369004,11.709545548067652,13342.15141446637,8.240265221928514,19059.056173083576,12.41397386046167
82,194,61,3476.321863189508,7.300145427109246,7527.683368642402,18.020248145341796,14866.558513545493,13.63579454341943,18392.161023365392,15.861612981606147
83,194,61,2328.25476980235,7.495707300706972,7389.108538852013,14.232618022891906,15112.644094362482,15.867241231437726,20738.205301894253,12.31010780066202
84,194,61,2936.3015766320977,12.95751063758149,6797.048144269085,30.83990883649613,14036.841286780276,20.213988594143963,18989.073768908434,20.347803942890657
85,183,36,2691.3687621398994,30.178168594246394,7219.9793824463595,22.036422351426488,9925.168547838774,20.129975324511562,14062.653259851395,15.905432904501946
86,183,36,2398.0758470854357,12.694579552264454,7917.879831215074,7.267623921208623,12283.987373208922,6.5683264202776375,15254.21460283807,8.636100741821192
87,183,36,3012.813077719113,11.286986299256382,7548.629634776427,7.176070789702559,12011.331216150082,10.277427876288062,14716.284772484796,9.558945125356985
88,183,36,2755.939856061174,7.36032524521957,6754.247291032952,9.022256459114377,9932.16453250771,7.170227934241446,12639.128759213565,6.68822269291903
89,183,36,3331.876276918242,9.703003533093165,7228.619900282311,6.730734928575886,10995.415764136387,10.591801347475663,16718.141136758233,7.920972323430335
90,174,57,2869.007171957811,13.474684496324059,6287.093107222936,14.836663539218693,12443.429690998222,16.010187906305738,17010.802621420014,22.66603684383704
91,174,57,1790.5325540114443,7.0031232238390215,5926.161420802457,15.601779050058521,10784.10340194311,10.20485435718821,16265.020638858434,11.709650870724566
92,174,57,2495.1322495566874,17.516892930334222,5773.287063255351,11.794115288681267,11883.234624368797,28.213496649283456,16577.456921523946,17.45777362816603
93,174,57,2469.1824527016743,39.70766264768248,5914.914258558574,31.749089063235594,10101.700954108883,31.441856916400866,15607.704986190685,33.75723349688023
94,174,57,2273.1029061599893,50.66842419682874,6373.577005767931,38.08016960918334,11989.830721473088,52.65079059961657,15755.389634225445,47.69719221273686
95,268,79,3635.0077421405585,26.98802402919837,11849.682170515567,34.78356920309999,23965.741197292064,30.12464722160707,36213.28906641649,35.079962940162844
96,268,79,4429.282765924332,7.526892457005257,12838.515154155004,5.200102544238684,25417.397937480237,9.13151973374299,37791.37965545658,9.035446650262426
97,268,79,4054.137582832248,18.996091370369395,13733.218809546157,16.33982376895451,25743.363369554092,17.8205223241467,37370.672539602936,33.021203756377325
98,268,79,4086.808911931968,6.585703459888181,12609.458768271583,10.350439966438614,24619.27004745706,7.01833118134401,35244.826240114955,8.59109462263805
99,268,79,4167.866989514426,30.707462455798478,10717.139679112319,26.616860074097765,22041.189595906493,27.560286667944766,34518.37365876607,20.007646385277624
100,390,29,4883.284190636634,4.654921362945328,12915.247138238446,7.510274028676733,23544.603971019387,6.516363445826364,34807.40136743642,7.913103042340491
101,390,29,3531.0029112703064,12.738085123914326,14955.334359396107,7.879191888358482,22813.465031444597,10.23569344198727,34511.179303394456,9.196084119415652
102,390,29,4995.971936726001,5.286232128075072,12245.93711672532,5.87485606033898,21248.155566573092,5.581422066185079,31067.044876890322,4.693018519701409
103,390,29,4902.163275232152,9.02317060845673,14197.300269264824,7.561193077610856,21796.787104373318,9.256116540614386,33438.01752590445,9.912793066809606
104,390,29,5071.848440374008,5.422451949630615,14717.061703627085,12.431779903911423,21601.74095042303,12.481806069417217,35420.44938709643,9.52821209988765
105,276,98,4738.231356270555,4.636654484168207,12584.805881403336,5.047121512789121,23409.058388341,4.389625197377359,36429.766033004664,5.891738582346191
106,276,98,3990.1512651585854,2.6906927471946966,11440.831238943474,3.248600305171939,22417.086231191846,4.88409739256247,38024.08756535047,3.972452820533736
107,276,98,3138.6804635683893,1.9142535662238007,11795.668413561893,2.614898221757631,22172.488493334524,3.8070040204622715,36095.295746074466,7.1455124691839496
108,276,98,3523.3579289907075,5.8277369493460185,11367.58683989672,4.251456783567065,25377.900981620587,5.330555456278558,37686.14108707738,4.950029556151655
109,276,98,4495.545438108542,2.8100023166339603,11842.139138973715,2.947833892348979,24905.983999491516,4.129402477228555,37822.49332959877,3.710289374178683
110,164,47,2800.229184223942,9.58607623581505,6129.7250555854225,7.285617396079132,9442.905691514034,16.791782617583515,13696.799268294433,13.803514988116156
111,164,47,1529.7526890953961,39.02588850724406,6419.962837611468,27.28851513137674,10388.303710426462,19.09753378874094,13675.598655813892,16.791361599973396
112,164,47,2636.5432495650043,10.325836740303624,6084.088539951768,9.21417841084207,9796.15350088953,11.11043789840738,13475.006614364076,10.91050600356651
113,164,47,2325.0431383312734,15.441806459536366,5498.7720650076535,29.05005069595373,9786.568247094701,27.46209846682484,12889.32974275923,22.850768619580236
114,164,47,1876.3493819390706,21.336556973302457,5594.546628290194,19.68108208554282,9660.737739471278,29.5197922079264,12370.501067342138,17.324773758093905
115,207,58,3396.75092731091,15.03754132291423,7258.499222307222,9.242202703781828,14906.353206831223,12.219310322331937,21121.256107691403,10.811264736077707
116,207,58,3156.7624072783096,21.837804707383164,8174.5849384545745,16.693629890210545,16452.057024119673,17.624445119424642,23227.914061185467,18.57169107918144
117,207,58,3222.500542752824,7.724662387849636,7453.222906433187,5.156053933762995,15728.931335135769,4.459941692157475,22051.28961521101,5.854155045499426
118,207,58,3713.7507470178252,9.949602715079529,8439.176505833673,19.03613872385143,17109.70005530789,12.159317533675633,22709.44119601017,17.415290425985617
119,207,58,3475.567049095962,4.229636846464723,8344.662534943747,8.551990063884283,16436.190364184014,8.155891215140926,22682.93360231928,9.774287145270076
120,465,59,10138.80678795183,18.631842767800656,26339.894192744112,23.76786893071425,51483.41899068414,21.269662016313884,71425.28418170009,21.21404165822007
121,465,59,7715.7634332448515,7.506982004888423,22143.69917256338,6.228159416676316,41909.46738852601,6.041996068486825,65101.3367270547,5.166438988760421
122,465,59,8365.882095024308,7.8517320752036,23955.75300154815,10.911439217852273,46321.73031292671,10.57838158914537,71543.55644057677,9.865160901008377
123,465,59,8822.402017309965,7.2435225977714115,24155.005201156797,7.364332913736257,45287.70431017618,9.990187477426634,75700.62718292259,6.190293308455787
124,465,59,7437.0330456375805,5.947679887613312,21102.446656085114,7.140029916395509,43682.999280830394,7.400252065634969,70184.31320976213,8.738697974186408
