,n,m,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
24,511,90,11357.957662457142,5.469264738423433,28242.782981779383,12.786335798318373,51889.63463752106,7.765160240068845,91159.63316753731,11.188592142791455
25,882,54,13013.855196467852,17.14480784304987,32485.392572195684,11.142432834720644,64453.616289572936,14.547970853111817,91247.23125387501,13.866058308167815
26,882,54,9451.893383252145,4.334044082631706,34428.02706359257,9.631065743274686,61993.28154051016,10.139300861866232,92698.5174331925,10.322898154962163
27,882,54,9239.722771634202,11.185401842135132,36901.24908407389,11.410781874589409,61425.069405840535,11.350824727348297,96342.88364721405,10.24583706528504
28,882,54,10162.693240050376,12.215753465070133,34065.1765591622,8.194183434486773,58652.666341944445,7.795242833340314,88861.72342209709,9.977260232947526
29,882,54,12441.654297777191,9.017823343000968,35938.396311377954,14.779166366734469,67816.13594843156,9.611552933461404,107792.37563125094,10.58920996295874
30,940,33,8593.864572767394,8.370273028907881,21357.716661718172,14.511310317139436,39304.42122082087,12.640058022248398,56529.54641895014,10.76705833179955
31,940,33,7964.878676009464,12.095090514929577,21427.596223279637,12.301186386702845,45965.35004429269,10.231209756465859,65913.9722995307,13.219381598950745
32,940,33,7620.28178376291,10.401838011325296,21830.381103211123,9.372267686791954,42521.53573012917,12.978899721112835,66821.32948447323,8.01127220166496
33,940,33,7728.374033881364,20.569772590488306,20050.448508167174,11.032325323224562,40787.20812571396,20.624025047399336,63792.92749342538,16.180195738298625
34,940,33,10681.256628798206,8.013610662592974,29160.552888495084,7.968570470651782,37935.13241191763,12.417813531914785,68587.17846845725,11.556124221262166
35,711,95,16652.75597332047,20.21446182175344,44070.19275542862,10.697628334880655,82621.80564722094,17.889657508751583,133436.14094124082,13.989892368714454
36,711,95,14150.488211191587,10.400249403961325,41804.751716768784,12.254301302478837,94141.28334585883,15.042849230641398,133568.06282331544,17.926110141843395
37,711,95,15438.723623827611,7.736310852439926,44862.093740134136,11.633310989122183,83353.78492880618,14.029287343324135,132957.55153155854,9.29553281828273
38,711,95,12594.06163080304,12.65776671935574,48191.084624145726,12.00411444677778,91787.2847977124,20.358965017236795,149343.3287206854,12.782825656307038
39,711,95,15060.300612398962,15.096033775868309,38491.99388524252,17.632532735882037,80346.51561549264,21.195771756343326,125762.92780640919,8.240668957926347
40,550,84,10622.248233142354,6.669580994359151,31308.450335881054,10.384090173554256,63460.36976637052,6.764725569957203,99797.71228717026,9.897057333355335
41,550,84,10959.753314936483,15.22530936638774,28679.970332290235,14.498682681989846,67922.35648891504,7.459189091143411,99030.14698091747,8.432485692869513
42,550,84,12953.318264585605,17.466183115322355,36068.01820392518,9.863408242263425,74867.87183269413,11.205490928473562,104820.00999532218,11.607996982795424
43,550,84,13984.954690924595,17.902157306808824,32104.75804170646,20.127258641736297,61705.99570994997,15.249928408631199,99120.98133987348,13.135089449657482
44,550,84,10912.89321128917,12.62448871057736,31137.66895166952,10.917334176030995,71645.63819894136,16.432352630188845,99674.33433976691,20.471689750445677
45,646,39,9427.769532182836,11.015702982631172,25983.564804853293,12.59698130461177,43146.58230961966,9.554931181670717,67221.0930084085,10.578239063957993
46,646,39,8911.571501982255,11.817137343394199,24589.884954770227,17.891254676878688,40280.13385959406,12.589919764904502,61363.214057848425,13.773790283656293
47,646,39,7249.371226613715,13.368512139394113,21715.774807083057,8.538236649288924,41320.36904272625,10.90943948461402,59713.038029911695,10.05470649745435
48,646,39,8817.227908348828,15.260452665985039,24947.698144830232,14.066491938585042,45165.54818574837,9.924525062475318,65535.1799092053,18.391723639112378
49,646,39,7542.416254911071,5.880163559987324,25661.95387485432,10.830781575040515,40031.4260265627,9.521925820303235,60624.321626008634,11.033390367442596
50,444,81,7260.310814453382,11.311616516902873,23407.653466362288,7.409620029608886,44696.6841399495,11.621094409845549,72219.51635767984,11.037656103514458
51,444,81,8556.297957278897,25.915093534343043,25158.471905626557,6.499423962868724,54299.18748868335,14.127325110529767,75814.89958286246,10.560511150039794
52,444,81,9055.004993769595,5.975584947823311,24895.858492940668,12.599233456250339,47956.16460358156,11.719042667198543,73972.95958759505,9.934490486031061
53,444,81,10191.531719845694,10.394324576078626,25212.160097733125,12.25173160303143,52139.89404170074,11.782115793587094,76859.95370331238,11.1101294340103
54,444,81,9979.318610637067,17.80711966208911,27102.531733828946,7.632799045129191,52964.89230813646,13.349915272899832,75443.25068838781,10.85419611202649
55,330,85,5078.2179087562745,17.16153468006988,16546.810514599318,18.09693191032428,28683.51323948366,11.243671366201776,48304.35649923788,18.545196006776365
56,330,85,5123.322676362564,22.735992014325646,15554.605676034786,8.01119057594183,32216.43991575094,18.66213216641328,51074.94118360241,15.83913667413978
