,n,p,Original_1,TDA_1,Original_2,TDA_2,Original_3,TDA_3,Original_4,TDA_4
32,34,0.26,94.22709195448326,121.88075416502103,280.93135177475557,152.27966628525655,625.6020862422582,104.98070455500968,878.7905238128756,87.69899591111924
33,34,0.26,61.26238323628983,93.16040730702304,309.6545963028054,82.3081102762231,577.2719583280636,130.71675403818887,984.0301804421381,104.09881965819852
34,34,0.26,62.99537515014286,95.96300393694824,277.4009093958267,60.3711711814999,553.3467609111102,107.48439316700708,1100.2654369689978,75.0473875677267
35,45,0.23,208.39302856331136,77.3856792126279,609.0143236006277,71.89136558255862,1741.5144972483045,61.37110300069833,2333.5729948346843,90.95424281271383
36,45,0.23,188.97149663454016,63.56941708087257,637.1160842774576,65.258761200955,1402.8764403227156,76.27724803357964,2259.144006423634,104.90461314946124
37,45,0.23,243.24422228890108,52.265034401854535,594.3058562635749,70.46257089825816,1388.431851032572,74.23677420524893,2472.8991888468518,63.04010130559712
38,45,0.23,181.24425584771973,82.69280779475929,690.0078098108474,93.98799415866414,1210.9200949015337,109.16934152072527,2231.5822477741694,80.89003244839537
39,45,0.23,209.2090647957102,63.174127469052266,761.7784957079318,56.739488872561566,1405.9155159286072,62.014188020200024,2142.9384771835284,75.67367073057508
40,32,0.29,37.863407763384096,86.51699412030793,156.42659670036696,72.67795315709719,418.77719617646017,99.64961824033256,740.0035871458592,160.78504301359735
41,32,0.29,90.14353151483272,83.65831804924002,201.95900513806617,61.177785312267275,379.27396554124715,130.44761659728547,632.1354186175008,147.00395304991918
42,32,0.29,77.69092408133235,132.52818069252362,179.68486112221473,123.04793490382949,472.31968918524547,102.22466491195442,783.1310554651602,220.93914969731935
43,32,0.29,13.294192613358435,32.04441952251932,240.1744881383401,90.31013473048289,449.7400959331919,105.81355370047268,756.3190138749508,175.4708966087657
44,32,0.29,103.82126548546074,137.2523597803603,219.4100552870961,65.4568605617541,423.0565004374939,121.50416605508121,882.0248756490978,95.0944162913749
45,35,0.24,134.05855658741106,199.61756714373206,318.4958600294984,71.79241789193337,653.8915382744682,75.98013352984282,1204.1779936845307,111.51315660021947
46,35,0.24,119.00105308584784,63.4142804340638,309.0345232487533,88.36377007960144,589.6493123781503,89.55164067649264,1073.4500795503732,114.78275719786043
47,35,0.24,97.72675188057579,55.58312462238979,297.12421702209974,105.68396687298684,622.3998115762483,81.3182420833094,1220.2232043365007,86.1701779430872
48,35,0.24,90.25860262874843,56.47412952782251,236.05559354892148,93.23959079228989,609.3749617242614,94.52705591410302,1049.7538216228434,94.91557929445815
49,35,0.24,107.06742025579948,64.48455135383503,283.7357678807039,89.47493704902112,576.4160005059031,114.91829972750185,1157.3553586214389,115.26771634870508
50,50,0.32,282.0834021090742,91.2107544753226,785.1145683656382,71.85689280821634,1940.4697880639214,75.7096730815818,3381.7585446402936,45.76054945876544
51,50,0.32,209.5962372546863,72.44792614395868,688.1422822260307,53.394978051826534,1968.83461045504,75.21692948910709,3429.4393271048543,84.97461068973126
